Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2025-01-06T14:54:00Z,LINKUSD,24.1,22.58748985,Limit,Filled,544.358505385,"Entry" 
2025-01-06T15:00:00Z,CRVUSD,1.014,801.015484,Limit,Filled,812.229700776,"Entry" 
2025-01-06T15:40:00Z,XLMUSD,0.459132,324.1299524,Limit,Filled,148.81843330532,"Entry" 
2025-01-06T15:40:00Z,FTMUSD,0.8075,184.89510375,Limit,Filled,149.30279627812,"Entry" 
2025-01-06T15:48:00Z,CRVUSD,1.077,-801.01548401,Limit,Filled,-862.69367627877,"ATR Trail" 
2025-01-06T15:50:00Z,ALGOUSD,0,1398.19196436,Limit,Canceled,0,"" 
2025-01-06T15:53:00Z,ALGOUSD,0,1393.34965436,Limit,Canceled,0,"" 
2025-01-06T15:56:00Z,ALGOUSD,0.42023,1696.78228774,Limit,Filled,713.03882077698,"Entry" 
2025-01-06T16:14:00Z,LINKUSD,24.71488,-11.29374492,Limit,Filled,-279.12355044841,"Partial TP" 
2025-01-06T16:22:00Z,FTMUSD,0.8647,-92.44755187,Limit,Filled,-79.939398101989,"Partial TP" 
2025-01-06T16:26:00Z,LINKUSD,24.50206,-11.29374493,Limit,Filled,-276.72001589956,"ATR Trail" 
2025-01-06T16:35:00Z,ALGOUSD,0.42885,-1696.78228773,Limit,Filled,-727.66508409301,"ATR Trail" 
2025-01-06T16:37:00Z,XLMUSD,0.485276,-324.12995239,Limit,Filled,-157.29248677601,"ATR Trail" 
2025-01-06T16:42:00Z,FTMUSD,0.8647,-92.44755188,Limit,Filled,-79.939398110636,"ATR Trail" 
2025-01-06T18:20:00Z,CRVUSD,0,277.67937794,Limit,Canceled,0,"" 
2025-01-06T18:23:00Z,CRVUSD,0,277.67937794,Limit,Canceled,0,"" 
2025-01-07T12:07:00Z,ADAUSD,1.138833,814.06743775,Limit,Filled,927.08686233515,"Entry" 
2025-01-07T12:26:00Z,ADAUSD,1.129809,-814.06743774,Limit,Filled,-919.74071776559,"ATR Trail" 
2025-01-07T13:05:00Z,SUIUSD,5.1082,191.30468,Limit,Filled,977.222566376,"Entry" 
2025-01-07T13:55:00Z,SUIUSD,5.2356,-191.30467,Limit,Filled,-1001.594730252,"ATR Trail" 
2025-01-07T14:43:00Z,XLMUSD,0.461603,868.75726165,Limit,Filled,401.02095824942,"Entry" 
2025-01-07T14:57:00Z,XLMUSD,0.485276,-868.75726166,Limit,Filled,-421.58704890932,"ATR Trail" 
2025-01-07T15:30:00Z,DOTUSD,7.393,99.26405582,Limit,Filled,733.85916467726,"Entry" 
2025-01-07T15:43:00Z,DOTUSD,7.9866,-99.26405582,Limit,Filled,-792.78230821201,"ATR Trail" 
2025-01-07T15:52:00Z,LTCUSD,106.01,8.97556381,Limit,Filled,951.4995194981,"Entry" 
2025-01-07T15:59:00Z,ETHUSD,3465,0.18441034,Limit,Filled,638.9818281,"Entry" 
2025-01-07T16:30:00Z,ATOMUSD,7.1303,127.50833154,Limit,Filled,909.17265637966,"Entry" 
2025-01-07T16:31:00Z,SOLUSD,208.6,2.41728081,Limit,Filled,504.244776966,"Entry" 
2025-01-07T16:31:00Z,XLMUSD,0.438108,282.35816682,Limit,Filled,123.70337174918,"Entry" 
2025-01-07T17:00:00Z,XLMUSD,0.485276,-282.35816682,Limit,Filled,-137.02164176174,"ATR Trail" 
2025-01-07T17:07:00Z,SOLUSD,222.25,-2.4172808,Limit,Filled,-537.2406578,"ATR Trail" 
2025-01-07T17:17:00Z,ETHUSD,3731.19,-0.18441034,Limit,Filled,-688.0700165046,"ATR Trail" 
2025-01-07T17:20:00Z,ATOMUSD,7.47,-127.50833154,Limit,Filled,-952.4872366038,"ATR Trail" 
2025-01-07T17:22:00Z,AVAXUSD,40.74,17.68853224,Limit,Filled,720.6308034576,"Entry" 
2025-01-07T17:22:00Z,XDGUSD,0.3656753,1970.20120955,Limit,Filled,720.45391836256,"Entry" 
2025-01-07T17:24:00Z,SUIUSD,4.8844,30.04048,Limit,Filled,146.729720512,"Entry" 
2025-01-07T17:24:00Z,LTCUSD,114.5,-8.97556381,Limit,Filled,-1027.702056245,"Stagnation Exit" 
2025-01-07T17:39:00Z,XDGUSD,0.3878252,-1970.20120955,Limit,Filled,-764.09367813397,"ATR Trail" 
2025-01-07T17:47:00Z,AVAXUSD,44.15,-17.68853224,Limit,Filled,-780.948698396,"ATR Trail" 
2025-01-07T17:47:00Z,SUIUSD,5.2356,-30.04048,Limit,Filled,-157.279937088,"ATR Trail" 
2025-01-07T18:57:00Z,SUIUSD,4.846,58.26067,Limit,Filled,282.33120682,"Entry" 
2025-01-07T19:39:00Z,SUIUSD,5.2356,-58.26067,Limit,Filled,-305.029563852,"ATR Trail" 
2025-01-07T19:46:00Z,ADAUSD,1.011653,935.27767897,Limit,Filled,946.17646976304,"Entry" 
2025-01-07T19:46:00Z,XRPUSD,2.28317,414.32095117,Limit,Filled,945.96516608281,"Entry" 
2025-01-07T19:54:00Z,FTMUSD,0.6946,271.31867436,Limit,Filled,188.45795121046,"Entry" 
2025-01-07T20:22:00Z,XLMUSD,0.419519,521.73211522,Limit,Filled,218.87653524498,"Entry" 
2025-01-07T20:44:00Z,XRPUSD,2.49609,-414.32095117,Limit,Filled,-1034.1823830059,"ATR Trail" 
2025-01-07T20:45:00Z,ADAUSD,1.134357,-935.27767898,Limit,Filled,-1060.9387820947,"ATR Trail" 
2025-01-07T20:45:00Z,FTMUSD,0.8647,-271.31867436,Limit,Filled,-234.60925771909,"ATR Trail" 
2025-01-07T20:45:00Z,XLMUSD,0.485276,-521.73211521,Limit,Filled,-253.18407394065,"ATR Trail" 
2025-01-07T20:50:00Z,XDGUSD,0.3503017,917.73903482,Limit,Filled,321.48554405381,"Entry" 
2025-01-07T21:20:00Z,ALGOUSD,0.38316,3232.26794434,Limit,Filled,1238.4757855533,"Entry" 
2025-01-07T21:37:00Z,ALGOUSD,0.43155,-3232.26794435,Limit,Filled,-1394.8852313842,"ATR Trail" 
2025-01-07T21:38:00Z,XDGUSD,0.3878252,-917.73903482,Limit,Filled,-355.92232472687,"ATR Trail" 
2025-01-07T21:52:00Z,ADAUSD,0,343.40519243,Limit,Canceled,0,"" 
2025-01-07T21:53:00Z,XRPUSD,2.28263,141.49101624,Limit,Filled,322.97163839991,"Entry" 
2025-01-07T22:46:00Z,XDGUSD,0.3517494,1125.86419045,Limit,Filled,396.02205347227,"Entry" 
2025-01-07T23:04:00Z,XDGUSD,0.3878252,-1125.86419045,Limit,Filled,-436.63850483411,"ATR Trail" 
2025-01-07T23:14:00Z,XRPUSD,2.49609,-141.49101623,Limit,Filled,-353.17431070154,"ATR Trail" 
2025-01-08T00:46:00Z,XRPUSD,2.32746,182.0322755,Limit,Filled,423.67283993523,"Entry" 
2025-01-08T00:50:00Z,ALGOUSD,0.37676,856.64208331,Limit,Filled,322.74847130788,"Entry" 
2025-01-08T01:06:00Z,ALGOUSD,0.43155,-856.64208331,Limit,Filled,-369.68389105243,"ATR Trail" 
2025-01-08T01:15:00Z,XRPUSD,2.49609,-182.03227551,Limit,Filled,-454.36894257776,"ATR Trail" 
2025-01-08T02:15:00Z,ALGOUSD,0,1164.98093514,Limit,Canceled,0,"" 
2025-01-08T05:05:00Z,SUIUSD,4.6973,93.95007,Limit,Filled,441.311663811,"Entry" 
2025-01-08T05:49:00Z,SUIUSD,5.2356,-93.95007,Limit,Filled,-491.884986492,"ATR Trail" 
2025-01-08T07:06:00Z,XTZUSD,1.2638,1175.5336334,Limit,Filled,1485.6394058909,"Entry" 
2025-01-08T07:06:00Z,ALGOUSD,0.36072,1010.03423986,Limit,Filled,364.3395510023,"Entry" 
2025-01-08T07:35:00Z,XRPUSD,2.26836,113.27603065,Limit,Filled,256.95081688523,"Entry" 
2025-01-08T08:18:00Z,ALGOUSD,0.43155,-505.01711992,Limit,Filled,-217.94013810148,"Partial TP" 
2025-01-08T08:30:00Z,XLMUSD,0.432773,587.97064943,Limit,Filled,254.45782186577,"Entry" 
2025-01-08T08:30:00Z,ALGOUSD,0.43155,-505.01711994,Limit,Filled,-217.94013811011,"ATR Trail" 
2025-01-08T08:35:00Z,XRPUSD,2.49609,-56.63801532,Limit,Filled,-141.3735836601,"Partial TP" 
2025-01-08T08:55:00Z,FTMUSD,0.6632,482.97116763,Limit,Filled,320.30647837222,"Entry" 
2025-01-08T08:58:00Z,XLMUSD,0.485276,-587.97064944,Limit,Filled,-285.32804487765,"ATR Trail" 
2025-01-08T09:18:00Z,XTZUSD,1.4719,-1175.5336334,Limit,Filled,-1730.2679550015,"ATR Trail" 
2025-01-08T09:32:00Z,XRPUSD,2.49609,-56.63801533,Limit,Filled,-141.37358368506,"ATR Trail" 
2025-01-08T10:27:00Z,FTMUSD,0.8647,-482.97116763,Limit,Filled,-417.62516864966,"Stagnation Exit" 
2025-01-08T12:20:00Z,XRPUSD,2.35285,203.89522809,Limit,Filled,479.73488741156,"Entry" 
2025-01-08T12:32:00Z,XRPUSD,2.49609,-203.89522808,Limit,Filled,-508.94083985821,"ATR Trail" 
2025-01-08T13:05:00Z,SUIUSD,4.5895,85.89456,Limit,Filled,394.21308312,"Entry" 
2025-01-08T13:10:00Z,XDGUSD,0.3449814,1973.86387217,Limit,Filled,680.94632203063,"Entry" 
2025-01-08T13:49:00Z,SUIUSD,5.2356,-85.89457,Limit,Filled,-449.709610692,"ATR Trail" 
2025-01-08T14:32:00Z,ADAUSD,0,376.85809844,Limit,Canceled,0,"" 
2025-01-08T14:32:00Z,XDGUSD,0.3878252,-1973.86387216,Limit,Filled,-765.51415099323,"ATR Trail" 
2025-01-08T14:40:00Z,ALGOUSD,0,1525.14117691,Limit,Canceled,0,"" 
2025-01-08T14:44:00Z,ALGOUSD,0.36401,2082.65541367,Limit,Filled,758.10739713002,"Entry" 
2025-01-08T14:52:00Z,SUIUSD,4.6446,106.46058,Limit,Filled,494.466809868,"Entry" 
2025-01-08T15:00:00Z,ADAUSD,0.978399,422.10571861,Limit,Filled,412.98781298231,"Entry" 
2025-01-08T15:14:00Z,ADAUSD,1.134357,-422.10571861,Limit,Filled,-478.81857664528,"ATR Trail" 
2025-01-08T15:16:00Z,SUIUSD,5.2356,-106.46057,Limit,Filled,-557.384960292,"ATR Trail" 
2025-01-08T15:17:00Z,ALGOUSD,0.43155,-2082.65541367,Limit,Filled,-898.76994376929,"ATR Trail" 
2025-01-08T15:45:00Z,XLMUSD,0.408786,1103.09581361,Limit,Filled,450.93012526238,"Entry" 
2025-01-08T15:55:00Z,XDGUSD,0.3459062,1221.60572326,Limit,Filled,422.56099363112,"Entry" 
2025-01-08T16:28:00Z,XLMUSD,0.485276,-1103.09581361,Limit,Filled,-535.30592404541,"ATR Trail" 
2025-01-08T16:44:00Z,XDGUSD,0.3878252,-1221.60572327,Limit,Filled,-473.76948394833,"ATR Trail" 
2025-01-08T16:59:00Z,XRPUSD,0,201.90910158,Limit,Canceled,0,"" 
2025-01-08T17:46:00Z,WIFUSD,1.7227,890.45163,Limit,Filled,1533.981023001,"Entry" 
2025-01-08T18:35:00Z,ETHUSD,3305.03,0.10962518,Limit,Filled,362.3145086554,"Entry" 
2025-01-08T18:44:00Z,WIFUSD,2.1506,-890.45163,Limit,Filled,-1915.005275478,"ATR Trail" 
2025-01-08T18:50:00Z,ETHUSD,3392.19,-0.10962518,Limit,Filled,-371.8694393442,"ATR Trail" 
2025-01-08T19:25:00Z,SOLUSD,195.08,2.47714581,Limit,Filled,483.2416046148,"Entry" 
2025-01-08T20:15:00Z,SOLUSD,222.25,-2.47714582,Limit,Filled,-550.545658495,"ATR Trail" 
2025-01-08T20:35:00Z,ADAUSD,0.92371,644.53281628,Limit,Filled,595.361407726,"Entry" 
2025-01-08T21:03:00Z,XDGUSD,0.3362407,1634.54864575,Limit,Filled,549.60178083103,"Entry" 
2025-01-08T21:21:00Z,LINKUSD,0,68.90706454,Limit,Canceled,0,"" 
2025-01-08T21:23:00Z,LINKUSD,20.08858,68.84717643,Limit,Filled,1383.0420114882,"Entry" 
2025-01-08T22:18:00Z,XDGUSD,0.3399217,-1634.54864575,Limit,Filled,-555.61855439604,"ATR Trail" 
2025-01-08T22:25:00Z,ADAUSD,1.134357,-322.26640814,Limit,Filled,-365.56515593847,"Partial TP" 
2025-01-08T22:45:00Z,XLMUSD,0.427953,1502.35897993,Limit,Filled,642.93903253798,"Entry" 
2025-01-08T22:58:00Z,LINKUSD,21.1107,-34.42358821,Limit,Filled,-726.70604362485,"Partial TP" 
2025-01-08T23:05:00Z,LINKUSD,21.1107,-34.42358822,Limit,Filled,-726.70604383595,"ATR Trail" 
2025-01-08T23:19:00Z,XLMUSD,0.429915,-1502.35897993,Limit,Filled,-645.88666085661,"ATR Trail" 
2025-01-08T23:32:00Z,ADAUSD,1.134357,-322.26640814,Limit,Filled,-365.56515593847,"ATR Trail" 
2025-01-09T00:08:00Z,XTZUSD,1.48,438.5556974,Limit,Filled,649.062432152,"Entry" 
2025-01-09T00:11:00Z,XTZUSD,1.5044,-438.5556974,Limit,Filled,-659.76319116856,"Stop Loss" 
2025-01-09T08:10:00Z,ALGOUSD,0.3476,1839.98310504,Limit,Filled,639.5781273119,"Entry" 
2025-01-09T08:41:00Z,SUIUSD,4.6598,172.05348,Limit,Filled,801.734806104,"Entry" 
2025-01-09T08:50:00Z,ADAUSD,0.91905,570.26231073,Limit,Filled,524.09957667641,"Entry" 
